_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,_id_s,ilce_adi_s,mahalle_adi_s,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma,n_bldg,heavy,dmg_any,heavy_ratio
602,MALTEPE,BAÐLARBAÞI,40615,854,1183,187,962,1128,134,602,MALTEPE,BAÐLARBAÞI,40615,26,59,309,720,35,19,95,181,1,1,2,2227,2224,85,1114,0.03821942446043165
603,MALTEPE,BAÞIBÜYÜK,40625,583,1522,336,2122,292,27,603,MALTEPE,BAÞIBÜYÜK,40625,19,68,286,618,10,8,37,80,1,1,1,1184,2441,87,991,0.035641130684145844
604,MALTEPE,BÜYÜKBAKKALKÖY,40624,105,383,367,803,47,5,604,MALTEPE,BÜYÜKBAKKALKÖY,40624,3,15,86,189,0,0,1,5,0,0,1,80,855,18,293,0.021052631578947368
605,MALTEPE,CEVÝZLÝ,40614,481,1390,233,1070,948,86,605,MALTEPE,CEVÝZLÝ,40614,27,69,343,710,30,15,85,162,1,1,2,2224,2104,96,1149,0.045627376425855515
606,MALTEPE,ÇINAR,40608,208,524,43,252,523,0,606,MALTEPE,ÇINAR,40608,4,10,67,218,6,3,19,41,0,0,1,602,775,14,299,0.01806451612903226
607,MALTEPE,ESENKENT,40620,531,1413,71,1535,480,0,607,MALTEPE,ESENKENT,40620,22,70,290,581,18,12,55,108,0,1,2,1406,2015,92,963,0.0456575682382134
608,MALTEPE,FEYZULLAH,40610,366,472,52,287,509,94,608,MALTEPE,FEYZULLAH,40610,14,30,140,313,20,10,53,98,1,1,1,1170,890,44,497,0.04943820224719101
609,MALTEPE,FINDIKLI,40619,91,1317,819,621,1550,56,609,MALTEPE,FINDIKLI,40619,4,14,130,561,4,2,22,57,0,0,1,1156,2227,18,709,0.008082622361921869
610,MALTEPE,GÝRNE,40618,18,587,124,405,243,81,610,MALTEPE,GÝRNE,40618,2,9,53,176,2,0,10,25,0,0,0,433,729,11,240,0.015089163237311385
611,MALTEPE,GÜLENSU,40622,722,1937,183,2712,130,0,611,MALTEPE,GÜLENSU,40622,28,99,400,753,14,12,44,90,0,1,1,976,2842,127,1280,0.04468684025334271
612,MALTEPE,GÜLSUYU,40621,802,1249,129,1934,233,13,612,MALTEPE,GÜLSUYU,40621,20,67,316,595,12,9,37,76,1,1,1,947,2180,87,998,0.03990825688073395
