_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,lon,lat,area_km2,match,vs30_point,vs30_mean,vs30_min,vs30_max,vs30_used,vs30_source,vs30_flag
33,ARNAVUTKÖY,NENEHATUN,99357,0,561,223,707,77,0,28.733961,41.196951,1.24,name+spatial,411.6,405.0,305.1224365234375,484.2593078613281,405.0,polygon mean,ok
34,ARNAVUTKÖY,ÖMERLİ,40906,0,273,329,477,83,42,28.635053,41.119155,10.561,name+district,468.3,398.0,289.72698974609375,538.1277465820312,398.0,polygon mean,ok
35,ARNAVUTKÖY,SAZLIBOSNA,40907,0,338,55,393,0,0,28.668424,41.147608,20.897,name+spatial,371.7,453.2,246.32208251953125,595.5380859375,453.2,polygon mean,ok
36,ARNAVUTKÖY,TAŞOLUK,40492,0,607,179,750,36,0,28.714805,41.191373,1.573,name+spatial,417.7,399.1,336.0781555175781,423.0412292480469,399.1,polygon mean,ok
37,ARNAVUTKÖY,TAYAKADIN,191977,0,817,487,1301,3,0,28.703582,41.260499,35.422,name+spatial,404.1,386.7,239.17300415039062,530.296142578125,386.7,polygon mean,ok
38,ARNAVUTKÖY,TERKOS,40914,0,428,132,560,0,0,28.654754,41.323548,18.971,name+spatial,377.6,383.1,222.66761779785156,600.0,383.1,polygon mean,ok
39,ARNAVUTKÖY,YASSIÖREN,191989,0,0,342,316,24,2,28.5871,41.251495,41.347,name+district,370.8,406.9,222.8182373046875,600.0,406.9,polygon mean,ok
40,ARNAVUTKÖY,YAVUZ SELİM,40480,0,968,204,1113,58,1,28.734643,41.208356,2.065,name+spatial,477.6,403.0,288.64825439453125,484.2593078613281,403.0,polygon mean,ok
41,ARNAVUTKÖY,YENİKÖY,191979,0,190,836,1026,0,0,28.724475,41.30338,32.333,name+spatial,321.8,415.4,268.11920166015625,600.0,415.4,polygon mean,ok
42,ARNAVUTKÖY,YEŞİLBAYIR,40908,0,172,208,357,23,0,28.596466,41.135013,14.559,name+district,411.9,421.3,289.72698974609375,536.1404418945312,421.3,polygon mean,ok
43,ARNAVUTKÖY,YUNUS EMRE,40484,5,1168,327,1421,78,1,28.758206,41.181862,1.055,name+spatial,498.1,411.0,292.4180603027344,498.0849304199219,411.0,polygon mean,ok
44,ATAŞEHİR,AŞIKVEYSEL,98687,792,181,199,886,266,20,29.091806,41.004559,0.414,name+district,445.5,399.9,331.9969177246094,445.511962890625,399.9,polygon mean,ok
45,ATAŞEHİR,ATATÜRK,99749,49,386,416,455,234,162,29.127608,40.990475,2.523,name+district,370.8,363.2,337.5726318359375,407.0850830078125,363.2,polygon mean,ok
46,ATAŞEHİR,BARBAROS,40527,571,725,596,1585,205,102,29.101659,40.992361,2.933,name+district,347.5,347.1,270.3731384277344,379.09454345703125,347.1,polygon mean,ok
47,ATAŞEHİR,ESATPAŞA,40793,997,396,733,1474,597,55,29.085094,41.003631,0.985,name+district,391.6,404.1,296.83892822265625,492.8279113769531,404.1,polygon mean,ok
48,ATAŞEHİR,FERHATPAŞA,40577,4,845,1135,1370,599,15,29.18119,40.983843,3.887,name+district,436.5,446.6,316.0032653808594,554.6170043945312,446.6,polygon mean,ok
49,ATAŞEHİR,FETIH,40795,55,339,160,265,262,27,29.075924,41.002798,0.422,name+district,447.3,449.4,391.6473083496094,492.8279113769531,449.4,polygon mean,ok
50,ATAŞEHİR,İÇERENKÖY,40530,1610,1809,1203,2950,1302,370,29.111819,40.971742,3.611,name+spatial,338.9,371.1,270.3731384277344,429.1817932128906,371.1,polygon mean,ok
51,ATAŞEHİR,İNÖNÜ,40534,89,445,887,504,898,19,29.138218,40.975778,1.248,name+spatial,437.8,459.4,346.12841796875,637.0193481445312,459.4,polygon mean,ok
52,ATAŞEHİR,KAYIŞDAĞI,40533,311,1394,1273,2245,723,10,29.145203,40.981509,1.836,name+spatial,346.0,433.0,337.5726318359375,637.0193481445312,433.0,polygon mean,ok
53,ATAŞEHİR,KÜÇÜKBAKKALKÖY,40531,478,292,957,850,611,266,29.117475,40.983033,2.275,name+spatial,407.1,361.1,270.3731384277344,408.2796630859375,361.1,polygon mean,ok
54,ATAŞEHİR,MEVLANA,99516,32,723,135,617,221,52,29.153493,40.987398,0.798,name+spatial,415.8,423.4,360.8922119140625,520.3228149414062,423.4,polygon mean,ok
55,ATAŞEHİR,MİMAR SİNAN,99519,51,722,135,771,135,2,29.16112,40.984334,0.5,name+spatial,520.3,488.2,396.6802062988281,547.524658203125,488.2,polygon mean,ok
56,ATAŞEHİR,MUSTAFA KEMAL,40740,914,374,164,1170,282,0,29.095233,41.001505,0.604,name+district,332.0,386.5,331.9969177246094,445.511962890625,386.5,polygon mean,ok
57,ATAŞEHİR,ÖRNEK,40816,760,367,732,1166,667,26,29.080434,40.995653,0.958,name+district,296.8,349.6,255.95155334472656,447.3019104003906,349.6,polygon mean,ok
58,ATAŞEHİR,YENİ ÇAMLICA,40746,184,793,350,1192,109,26,29.162502,40.990888,0.737,name+district,386.7,442.4,360.8922119140625,547.524658203125,442.4,polygon mean,ok
